mmyyyy;mm_yyyy;yyyy.mm;classificacao;fonte;rubrica;descricao;valores_mes;valores_ano;valores_orcados;num_caract_classif;raiz;;;;
012012;01.2012;2012-01-01;1000000000;;;RECEITAS CORRENTES;180531219.9;180531219.9;1787014000;10;1000000000;;;;
012012;01.2012;2012-01-01;1100000000;;;RECEITA TRIBUTARIA;36745467.88;36745467.88;462342000;10;1000000000;;;;
012012;01.2012;2012-01-01;1110000000;;;IMPOSTOS;33735894.93;33735894.93;448504000;10;;;;;
012012;01.2012;2012-01-01;1112000000;;;IMPOSTOS SOBRE O PATRIMONIO E A RENDA;7756937.35;7756937.35;216544000;10;;;;;
012012;01.2012;2012-01-01;1112020000;;;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL;1088700.83;1088700.83;118584000;10;;;;;
012012;01.2012;2012-01-01;1112020100;1;19;IMPOSTO PREDIAL URBANO;917829.76;917829.76;77013000;10;;;;;
012012;01.2012;2012-01-01;1112020200;1;27;IMPOSTO TERRITORIAL URBANO;170871.07;170871.07;41571000;10;;;;;
012012;01.2012;2012-01-01;1112040000;;;IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;3889920.4;3889920.4;59792000;10;;;;;
012012;01.2012;2012-01-01;1112043100;;;IMPOSTO DE RENDA RETIDO NAS FONTES SOBRE OS RENDIMENTOS DO TRABALHO;3889920.4;3889920.4;59792000;10;;;;;
012012;01.2012;2012-01-01;1112043101;1;1140;IMPOSTO DE RENDA S REND DO TRABALHO PROPRIOS;3018895.12;3018895.12;58268000;10;;;;;
012012;01.2012;2012-01-01;1112043102;1;1150;IMPOSTO DE RENSA S REND DO TRABALHO FMS;871025.28;871025.28;1524000;10;;;;;
012012;01.2012;2012-01-01;1112080000;1;248;IMPOSTO SOBRE TRANSMISSAO DE BENS IMOVEIS ITBI;2778316.12;2778316.12;38168000;10;;;;;
012012;01.2012;2012-01-01;1113000000;;;IMPOSTOS SOBRE A PRODUCAO E A CIRCULACAO;25978957.58;25978957.58;231960000;10;;;;;
012012;01.2012;2012-01-01;1113050000;;;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA;25978957.58;25978957.58;231960000;10;;;;;
012012;01.2012;2012-01-01;1113050100;1;35;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA ISS NL;23780860.35;23780860.35;206828000;10;;;;;
012012;01.2012;2012-01-01;1113050200;1;221;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA ISS LANC;292029.75;292029.75;6668000;10;;;;;
012012;01.2012;2012-01-01;1113050300;1;222;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA SUPER SIMPLES;1752476.79;1752476.79;17096000;10;;;;;
012012;01.2012;2012-01-01;1113050400;1;1011;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA REPASSE COTA UNICA;153590.69;153590.69;1368000;10;;;;;
012012;01.2012;2012-01-01;1113050500;1;38;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA ISS ELETRONICO;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1113050600;1;85;IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA ISS ELETRONICO;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1120000000;;;TAXAS;3007733.06;3007733.06;13822000;10;;;;;
012012;01.2012;2012-01-01;1121000000;;;TAXAS PELO EXERCICIO DO PODER DE POLICIA;2996278.88;2996278.88;5608000;10;;;;;
012012;01.2012;2012-01-01;1121170000;1;330;TAXA DE FISCALIZACAO DE VIGILANCIA SANITARIA;27557.99;27557.99;501000;10;;;;;
012012;01.2012;2012-01-01;1121990000;;;OUTRAS TAXAS PELO PODER DE POLICIA;2968720.89;2968720.89;5107000;10;;;;;
012012;01.2012;2012-01-01;1121990100;1;43;TAXA DE LICENCA PARA LOCALIZACAO;2570.3;2570.3;230000;10;;;;;
012012;01.2012;2012-01-01;1121990200;1;51;TAXA DE FISCALIZACAO E FUNCIONAMENTO;226.57;226.57;3077000;10;;;;;
012012;01.2012;2012-01-01;1121990300;1;78;TAXA DE LICENCA PARA O EXERCICIO DO COMERCIO AMBULANTE;0;0;43000;10;;;;;
012012;01.2012;2012-01-01;1121990400;1;86;TAXA DE LICENCA EXEC OBRAS PARTIC  ARRUAM  LOTEAM E DESMEMBRAMENTO;69322.51;69322.51;1148000;10;;;;;
012012;01.2012;2012-01-01;1121990500;1;94;TAXA DE LICENCA PARA PUBLICIDADE;291.48;291.48;52000;10;;;;;
012012;01.2012;2012-01-01;1121990600;1;108;TAXA DE LICENCA P OCUP DO SOLO E LOGRADOUROS PUBLICOS;7763.95;7763.95;70000;10;;;;;
012012;01.2012;2012-01-01;1121990700;1;60;TAXA DE REGULARIZACAO FMH;2831645.75;2831645.75;89000;10;;;;;
012012;01.2012;2012-01-01;1121990800;1;120;TAXA P PERMISSAO DE USO DO SOLO SUBSOLO AEREO;53900.33;53900.33;369000;10;;;;;
012012;01.2012;2012-01-01;1121990900;1;350;TAXA DE CONFORMIDADE DE OBRAS E SERVICOS;3000;3000;29000;10;;;;;
012012;01.2012;2012-01-01;1121991000;1;331;TAXA DE EMISSAO DE LAUDO TECNICO;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1122000000;;;TAXAS PELA PRESTACAO DE SERVICOS;11454.18;11454.18;8214000;10;;;;;
012012;01.2012;2012-01-01;1122990000;;;OUTRAS TAXAS PELA PRESTACAO DE SERVICOS;11454.18;11454.18;8214000;10;;;;;
012012;01.2012;2012-01-01;1122990100;1;116;TAXA DE EXPEDIENTE;88.85;88.85;14000;10;;;;;
012012;01.2012;2012-01-01;1122990200;1;175;TAXA APREENSAO DEP BENS ALINH  NIVEL E NUM DE PREDIOS;371.31;371.31;39000;10;;;;;
012012;01.2012;2012-01-01;1122990300;1;183;TAXA DE VISTORIA;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1122990400;1;140;TAXA DE COLETA DE LIXO;10994.02;10994.02;8161000;10;;;;;
012012;01.2012;2012-01-01;1130000000;;;CONTRIBUICAO DE MELHORIA;1839.89;1839.89;16000;10;;;;;
012012;01.2012;2012-01-01;1130040000;1;205;CONTRIB MELHORIA P PAVIMENTACAO E OBRAS COMPLEMENTARES;1839.89;1839.89;16000;10;;;;;
012012;01.2012;2012-01-01;1200000000;;;RECEITA DE CONTRIBUICOES;205060.45;205060.45;1025000;10;1000000000;;;;
012012;01.2012;2012-01-01;1220000000;;;CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO;205060.45;205060.45;1025000;10;;;;;
012012;01.2012;2012-01-01;1221000000;2;1840;CONTRIBUICOES DE INTERVENCAO NO DOMINIO ECONOMICO CIDE;205060.45;205060.45;1025000;10;;;;;
012012;01.2012;2012-01-01;1300000000;;;RECEITA PATRIMONIAL;3975969.66;3975969.66;48493000;10;1000000000;;;;
012012;01.2012;2012-01-01;1310000000;;;RECEITAS IMOBILIARIAS;70346.99;70346.99;1433000;10;;;;;
012012;01.2012;2012-01-01;1311000000;;;ALUGUEIS;17839.27;17839.27;263000;10;;;;;
012012;01.2012;2012-01-01;1311010000;1;1040;ALUGUEIS DE IMOVEIS PROPRIOS PUBLICOS;17839.27;17839.27;227000;10;;;;;
012012;01.2012;2012-01-01;1311020000;1;1041;ALUGUEIS DE IMOVEIS PROPRIOS PUBLICOS PQ TECNOLOGICO;0;0;36000;10;;;;;
012012;01.2012;2012-01-01;1313000000;1;1015;FORO;0;0;0;10;;;;;
012012;01.2012;2012-01-01;1314000000;1;1023;LAUDEMIOS;52507.72;52507.72;1170000;10;;;;;
012012;01.2012;2012-01-01;1320000000;;;RECEITAS DE VALORES MOBILIARIOS;3905622.67;3905622.67;47060000;10;;;;;
012012;01.2012;2012-01-01;1321000000;;;JUROS DE TITULOS DE RENDA;3905622.67;3905622.67;46828000;10;;;;;
012012;01.2012;2012-01-01;1321010000;;;OUTROS RENDIMENTOS DE TITULOS;3905622.67;3905622.67;46828000;10;;;;;
012012;01.2012;2012-01-01;1321010100;;;JUROS BANC OP FINANCEIRAS;2965407.99;2965407.99;34074000;10;;;;;
