"","time","ipca"
"1",2012-01-01,0.53
"2",2012-02-01,0.33
"3",2012-03-01,0.07
"4",2012-04-01,0.66
"5",2012-05-01,0.22
"6",2012-06-01,0
"7",2012-07-01,0.36
"8",2012-08-01,0.31
"9",2012-09-01,0.47
"10",2012-10-01,0.53
"11",2012-11-01,0.52
"12",2012-12-01,0.62
"13",2013-01-01,0.99
"14",2013-02-01,0.66
"15",2013-03-01,0.48
"16",2013-04-01,0.54
"17",2013-05-01,0.21
"18",2013-06-01,0.29
"19",2013-07-01,0.06
"20",2013-08-01,0.26
"21",2013-09-01,0.36
"22",2013-10-01,0.69
"23",2013-11-01,0.45
"24",2013-12-01,0.94
"25",2014-01-01,0.53
"26",2014-02-01,0.97
"27",2014-03-01,0.93
"28",2014-04-01,0.47
"29",2014-05-01,0.12
"30",2014-06-01,0.37
"31",2014-07-01,0.18
"32",2014-08-01,0.18
"33",2014-09-01,0.65
"34",2014-10-01,0.42
"35",2014-11-01,0.5
"36",2014-12-01,0.63
"37",2015-01-01,1.51
"38",2015-02-01,1.25
"39",2015-03-01,1.31
"40",2015-04-01,0.58
"41",2015-05-01,0.69
"42",2015-06-01,0.79
"43",2015-07-01,0.79
"44",2015-08-01,0.24
"45",2015-09-01,0.71
"46",2015-10-01,0.99
"47",2015-11-01,0.88
"48",2015-12-01,0.84
"49",2016-01-01,1.1
"50",2016-02-01,0.82
"51",2016-03-01,0.57
"52",2016-04-01,0.36
"53",2016-05-01,0.93
"54",2016-06-01,0.41
"55",2016-07-01,0.33
"56",2016-08-01,0.55
"57",2016-09-01,0.06
"58",2016-10-01,0.23
"59",2016-11-01,0.26
"60",2016-12-01,0.35
"61",2017-01-01,0.23
"62",2017-02-01,0.27
"63",2017-03-01,0.31
"64",2017-04-01,0.16
"65",2017-05-01,0.36
"66",2017-06-01,-0.31
"67",2017-07-01,0.38
"68",2017-08-01,0.29
"69",2017-09-01,0.19
"70",2017-10-01,0.5
"71",2017-11-01,0.58
"72",2017-12-01,0.62
"73",2018-01-01,0.21
"74",2018-02-01,0.29
"75",2018-03-01,0.22
"76",2018-04-01,0.1
"77",2018-05-01,0.19
"78",2018-06-01,1.11
"79",2018-07-01,0.63
"80",2018-08-01,0.12
"81",2018-09-01,0.61
