"","x"
"1",143194404.815596
"2",140770093.423802
"3",143196640.718624
"4",141164593.906737
"5",140960636.465889
"6",140428875.177709
"7",142958634.030244
"8",143286645.338629
"9",142420661.996293
"10",145546988.3061
"11",144201531.798869
"12",148112201.643686
"13",144520879.404684
"14",145573214.734878
"15",146113807.776708
"16",147170873.900115
"17",146391605.241598
"18",167663698.827294
"19",159846541.524935
"20",160031496.300195
"21",162263124.887373
"22",157324443.448269
"23",159234315.061939
"24",157041840.602337
"25",160875761.557613
"26",163898959.383153
"27",160094332.838302
"28",160488725.240804
"29",162500752.322311
"30",158394103.645337
"31",165778723.46196
"32",165380946.383615
"33",165736855.382046
"34",167956330.044243
"35",168409644.896338
"36",165767897.311167
"37",169690207.38395
"38",166300070.848238
"39",173409825.958955
"40",171968271.07982
"41",169326502.761938
"42",174170642.847878
"43",170902640.024007
"44",170112732.394448
"45",171568860.080659
"46",172671261.817513
"47",171700346.996309
"48",174280700.109113
"49",172693240.650238
"50",166256218.091742
"51",189439055.233334
"52",188855278.498595
"53",189547426.170873
"54",186399787.433416
"55",188223914.004809
"56",191867468.10935
"57",185695452.254609
"58",187460460.293052
"59",187097796.760193
"60",189736625.473386
"61",185948304.997298
"62",192342968.794949
"63",192357971.721739
"64",186319947.519714
"65",192124891.273995
"66",192259945.606223
"67",191930901.31841
"68",189981997.290087
"69",193467694.682879
"70",194458409.261771
"71",195862394.077281
"72",195484928.239261
"73",200125475.602625
"74",203151280.74601
"75",196003991.528698
"76",201905997.235995
"77",199643472.96042
"78",199477435.786064
"79",200159522.677099
"80",201089491.479829
"81",202087975.496541
"82",198382373.536031
